STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/29/73,0.8,0,0,47,30,31
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/29/73,0.22,0,0,46,28,30
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/29/73,0.65,0,0,45,27,30
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/30/73,0,0,0,33,16,33
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/30/73,0,0,0,33,19,33
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/30/73,0,0,0,34,18,33
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/31/73,0,0,0,45,18,41
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/31/73,0,0,0,45,18,40
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/31/73,0,0,0,44,24,38
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/1/73,0,0,0,42,27,32
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/1/73,0.03,0,0,40,28,37
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/1/73,0.01,0,0,39,29,37
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/2/73,0.92,0,0,56,27,55
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/2/73,1.49,0,0,63,35,63
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/2/73,1.47,0,0,64,36,63
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/3/73,0.64,0,0,63,42,50
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/3/73,0,0,0,63,36,46
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/3/73,0,0,0,63,41,45
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/4/73,0,0,0,52,35,35
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/4/73,0,0,0,54,34,52
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/4/73,0,0,0,54,34,51
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/5/73,0,0,0,53,35,38
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/5/73,0,0,0,60,34,54
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/5/73,0,0,0,58,40,52
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/6/73,0,0,0,59,38,41
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/6/73,0.04,0,0,54,39,43
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/6/73,0.14,0,0,52,39,41
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/7/73,0.51,0,0,47,36,36
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/7/73,0.53,0,0,50,35,49
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/7/73,0.4,0,0,49,35,48
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/8/73,0,0,0,51,35,39
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/8/73,0.42,0,0,49,35,45
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/8/73,0.32,0,0,48,38,45
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/9/73,0.31,0,0,45,21,22
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/9/73,0,0,0,46,21,31
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/9/73,0,0,0,45,21,30
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/10/73,0,0,0,34,21,23
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/10/73,0,0,0,30,18,28
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/10/73,0,0,0,30,21,28
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/11/73,0,0,0,28,12,18
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/11/73,0,0,0,30,12,26
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/11/73,0,0,0,30,15,26
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/12/73,0,0,0,30,9,14
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/12/73,0,0,0,37,11,33
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/12/73,0,0,0,39,12,33
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/13/73,0,0,0,39,12,16
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/13/73,0,0,0,46,13,39
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/13/73,0,0,0,45,21,40
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/14/73,0,0,0,45,15,27
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/14/73,0.13,0,0,39,22,34
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/14/73,0.13,0,0,40,26,34
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/15/73,0.52,0,0,40,27,36
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/15/73,0.5,0,0,54,32,54
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/15/73,0.35,0,0,50,32,47
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/16/73,0,0,0,49,27,27
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/16/73,0,0,0,54,15,25
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/16/73,0,0,0,48,22,23
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/17/73,0,0,0,30,10,10
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,2/17/73,0,0,0,27,16,25
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,2/17/73,0,0,0,27,7,23
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,2/18/73,0,0,0,26,10,25
